model,layers,neurons,neurons*layer,max scores,mean of the scores,median of the scores,variance of the scores
glove,1,300,300,0.022432161,0.022432161,0.022432161,0.0
ETM,1,200,200,0.012323698,0.012323698,0.012323698,0.0
word2vec,1,300,300,-0.016189965,-0.016189965,-0.016189965,0.0
lm_1b,2,1024,2048,0.047134653,0.014521758,0.014521758,0.001063600920281025
skip-thoughts,1,2400,2400,0.692310016,0.692310016,0.692310016,0.0
distilbert-base-uncased,7,768,5376,0.025692821,-0.011142976142857143,-0.003324376,0.0009085543238460107
bert-base-uncased,13,768,9984,0.057102998,-0.0008082278461538456,0.006468306,0.0012801004455230082
bert-base-multilingual-cased,13,768,9984,0.155435011,0.040036434307692305,0.037705893,0.0029363295457407
bert-large-uncased,25,1024,25600,0.10922569,0.0105763784,0.010574105,0.0017578400033939488
bert-large-uncased-whole-word-masking,25,1024,25600,0.073550129,-0.00896013392,-0.009737259,0.0013567424053443277
distilroberta-base,7,768,5376,0.093142,0.02823779742857143,0.020179894,0.0013934593271404323
roberta-base,13,768,9984,0.15622582,0.023025386307692308,0.019929893,0.002947153302009154
roberta-large,25,1024,25600,0.118609791,0.0116553904,0.00761136,0.0017143258690997195
xlm-mlm-enfr-1024,7,1024,7168,0.07826825,-0.0008999225714285714,0.001262117,0.004013439321518708
xlm-clm-enfr-1024,7,1024,7168,0.238218362,0.09679589671428572,0.105850657,0.005864372190613152
xlm-mlm-xnli15-1024,13,1024,13312,0.491101287,0.146520735,0.041293159,0.03725505513139488
xlm-mlm-100-1280,17,1280,21760,0.291936074,0.04573883694117647,0.028999412,0.006316143514391449
xlm-mlm-en-2048,13,2048,26624,0.120774629,0.003859032999999999,0.003793301,0.0034585915873546545
xlm-roberta-base,13,768,9984,0.131177558,0.03221736307692308,0.029630538,0.0016100871454217168
xlm-roberta-large,25,1024,25600,0.19748362,0.03583898884,0.026803979,0.0036925362469941753
transfo-xl-wt103,19,1024,19456,0.081955383,0.029811221842105263,0.027807786,0.0011754372461801454
xlnet-base-cased,13,768,9984,0.110380112,0.0068105113076923065,-0.018214326,0.0029760586557553803
xlnet-large-cased,25,1024,25600,0.233685257,0.013574244440000001,-0.000363238,0.004479710210967753
ctrl,49,1280,62720,0.086514797,0.0004177158367346942,-8.54e-05,0.0015854326686050196
t5-small,7,512,3584,0.094063912,0.008324365857142857,-0.008866095,0.0028882605587203986
t5-base,13,768,9984,0.277565341,0.020906544461538463,-0.003382168,0.008488393199017653
t5-large,25,1024,25600,0.311328097,0.04368416184,0.010411256,0.007557312102746634
t5-3b,25,1024,25600,0.437597848,0.05415573956,0.023210319,0.01610743860793949
t5-11b,25,1024,25600,0.655892998,0.17269062192,0.11080437,0.031093009201615618
albert-base-v1,13,768,9984,0.552444677,0.025034844615384615,-0.019906993,0.025600569656591868
albert-base-v2,13,768,9984,0.7149511,0.08541146615384615,0.01918113,0.03726958745337038
albert-large-v1,25,1024,25600,0.439500645,0.00516058356,-0.002061451,0.010495045410077602
albert-large-v2,25,1024,25600,0.577889381,0.02635391488,0.010983922,0.015132598431749612
albert-xlarge-v1,25,2048,51200,0.582541956,0.013992443960000002,-0.001240808,0.014607685916636486
albert-xlarge-v2,25,2048,51200,0.646487592,0.03511202292,0.014347399,0.017189088360997706
albert-xxlarge-v1,13,4096,53248,0.468263741,0.028238101461538462,0.008486427,0.01840149315424765
albert-xxlarge-v2,13,4096,53248,0.539680737,0.06010666646153846,0.031979255,0.021360825703686276
openaigpt,13,768,9984,0.08593646,0.014317184692307692,0.005227497,0.00117320205307721
distilgpt2,7,768,5376,0.396716014,0.20686486542857144,0.23859458,0.018642082345813334
gpt2,13,768,9984,0.741267894,0.3517294902307692,0.277824705,0.03804612960961337
gpt2-medium,25,1024,25600,0.795911052,0.44292500751999997,0.459265818,0.04060373589582253
gpt2-large,37,1280,47360,0.919001941,0.3297335016216216,0.262585412,0.06306634268851465
gpt2-xl,49,1600,78400,0.824057812,0.30586474651020407,0.31983766,0.05123878883040961
